# step Etot Epot T p 
0 -4685.3497 -4685.3497 0.0 6516.2582 
5000 -4262.3628 -5185.1436 293.1593 -263.0987 
10000 -4238.3782 -5186.7544 301.2908 -112.8233 
15000 -4274.9253 -5200.8649 294.1629 -103.7702 
20000 -4247.9582 -5221.6323 309.3277 -588.134 
25000 -4227.7348 -5200.6163 309.0759 -689.5868 
30000 -4229.3553 -5187.2632 304.3189 349.2573 
35000 -4245.6522 -5196.8473 302.1863 -544.2407 
40000 -4323.9013 -5244.6561 292.5157 -418.9456 
45000 -4270.7546 -5198.0193 294.5838 -155.4359 
50000 -4211.0961 -5157.8411 300.7726 231.3694 
55000 -4251.1043 -5201.9862 302.0869 -564.6696 
60000 -4244.039 -5201.7173 304.246 33.1467 
65000 -4251.3996 -5198.8616 301.0004 -977.3488 
70000 -4264.7395 -5207.3725 299.4662 -235.6907 
75000 -4354.0097 -5279.2894 293.9533 -836.6125 
80000 -4264.7307 -5207.6615 299.5608 -990.7584 
85000 -4331.7499 -5227.6794 284.6289 14.5834 
90000 -4298.5361 -5188.0281 282.5838 -599.4878 
95000 -4323.7505 -5216.5299 283.6282 -340.156 
100000 -4336.324 -5250.1741 290.3221 -479.8885 
105000 -4285.2138 -5225.2955 298.6557 244.6852 
110000 -4257.4181 -5204.7805 300.9687 -736.8413 
115000 -4254.3464 -5171.7114 291.4388 -45.8284 
120000 -4272.8174 -5220.3414 301.0201 79.1209 
125000 -4246.5025 -5163.2513 291.243 391.0341 
130000 -4250.8195 -5194.3182 299.7412 -505.0151 
135000 -4273.686 -5208.7582 297.0642 -484.3125 
140000 -4253.2557 -5224.777 308.6438 -9.4064 
145000 -4233.1296 -5199.7306 307.0806 -343.1815 
150000 -4304.3152 -5226.5539 292.9871 -245.3206 
155000 -4337.9568 -5220.3311 280.3226 65.1958 
160000 -4361.4104 -5286.1724 293.7888 -744.4669 
165000 -4327.4586 -5217.3884 282.7229 -788.5822 
170000 -4239.3024 -5201.9425 305.8223 -704.7451 
175000 -4323.8038 -5304.2752 311.4871 224.0328 
180000 -4335.9319 -5233.3564 285.1039 -217.6655 
185000 -4256.1086 -5230.0114 309.4004 -179.6406 
190000 -4265.7203 -5256.1346 314.6459 -310.5561 
195000 -4374.8612 -5270.7285 284.6092 232.6432 
200000 -4209.9436 -5181.381 308.6171 -241.2678 
205000 -4247.056 -5199.9071 302.7124 -464.3271 
210000 -4343.0288 -5236.4175 283.8218 -243.2531 
215000 -4280.0898 -5222.4312 299.3736 -87.5427 
220000 -4253.9506 -5215.6273 305.5163 -474.8969 
225000 -4271.918 -5190.3852 291.789 -473.6455 
230000 -4299.5601 -5209.4193 289.0543 224.6736 
235000 -4319.1722 -5289.0501 308.1217 249.6816 
240000 -4317.2186 -5235.0044 291.5725 -470.9979 
245000 -4189.5291 -5142.2113 302.6588 -891.2431 
250000 -4244.8747 -5204.8792 304.985 -398.4473 
255000 -4283.7183 -5219.7263 297.3615 324.6085 
260000 -4313.6601 -5242.3287 295.0298 -414.5993 
265000 -4275.5023 -5217.4872 299.2604 -340.9941 
270000 -4275.736 -5217.6345 299.2329 -141.2322 
275000 -4235.6306 -5199.2662 306.1386 -954.2752 
280000 -4277.5427 -5236.997 304.8102 -998.0382 
285000 -4261.0141 -5201.7604 298.8669 -668.4093 
290000 -4343.3237 -5247.93 287.3855 -522.1693 
295000 -4246.0131 -5202.2701 303.7945 4.8816 
300000 -4302.672 -5219.1861 291.1685 -714.1763 
305000 -4334.4589 -5235.8643 286.3686 -932.0153 
310000 -4295.5196 -5241.4849 300.5248 -315.929 
315000 -4247.986 -5193.1 300.2544 -459.2427 
320000 -4240.2504 -5138.9549 285.5105 -419.0999 
325000 -4351.127 -5257.7503 288.0262 -825.6153 
330000 -4320.4488 -5234.342 290.3359 -912.0685 
335000 -4208.4437 -5192.3328 312.5729 3.5175 
340000 -4206.9799 -5181.5551 309.614 99.777 
345000 -4262.066 -5206.5486 300.0538 -436.1447 
350000 -4223.4253 -5197.0578 309.3145 -401.2258 
355000 -4342.4513 -5256.3929 290.3512 370.3722 
360000 -4306.8591 -5238.8864 296.0969 -658.1475 
365000 -4233.2862 -5204.7018 308.6102 239.6338 
370000 -4244.1292 -5187.1993 299.6051 -503.7899 
375000 -4275.2535 -5230.4052 303.4433 -739.3942 
380000 -4239.2158 -5176.2209 297.6783 -129.7189 
385000 -4272.0624 -5197.835 294.1098 390.2341 
390000 -4246.3611 -5186.1905 298.5756 -617.6008 
395000 -4202.1393 -5137.9905 297.3117 -169.0995 
400000 -4252.8784 -5201.5692 301.3907 -466.1053 
405000 -4272.8439 -5212.5345 298.5314 41.3785 
410000 -4343.0028 -5272.7829 295.3829 71.4399 
415000 -4247.6977 -5214.5901 307.1732 -191.9907 
420000 -4259.9514 -5235.2651 309.8486 -222.5364 
425000 -4260.1348 -5185.2657 293.906 -30.3747 
430000 -4253.4126 -5200.7889 300.9731 -379.9537 
435000 -4253.0904 -5205.303 302.5096 -100.6984 
440000 -4275.749 -5200.71 293.852 -198.2923 
445000 -4249.9337 -5211.9137 305.6126 -580.6809 
450000 -4320.9441 -5282.2178 305.3882 -704.4551 
455000 -4285.8998 -5239.4462 302.9333 -628.9635 
460000 -4233.6361 -5213.6662 311.3469 -447.2949 
465000 -4210.5981 -5162.3152 302.3521 14.546 
470000 -4231.9349 -5172.7258 298.881 -358.7299 
475000 -4208.3199 -5169.9073 305.4879 536.2723 
480000 -4206.6653 -5214.3496 320.1324 -163.8155 
