ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6262       775.2765         0.0000         0.0000         0.0000          -4685.3497         0.0000     -4685.3497     -4684.5917         0.0000           6516.2582      6528.3358     23823.1240      6516.2582      6528.3358
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5646.6548       461.5113         0.0000         0.0000       922.7808          -4262.3628       293.1593     -5185.1436     -4260.1418       278.3081           -263.0987      -256.0854     23104.5271      -121.5925      -121.6484
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5626.8234       440.0689         0.0000         0.0000       948.3762          -4238.3782       301.2908     -5186.7544     -4236.3261       299.2407           -112.8233       -95.3610     22962.0432      -171.1402      -171.2030
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5616.6899       415.8250         0.0000         0.0000       925.9395          -4274.9253       294.1629     -5200.8649     -4272.7618       294.8098           -103.7702       -83.1790     22793.6144      -173.1211      -173.1589
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5585.7324       364.1002         0.0000         0.0000       973.6741          -4247.9582       309.3277     -5221.6323     -4246.0051       300.9478           -588.1340      -563.2411     22698.7061      -229.8644      -229.8786
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5562.9744       362.3581         0.0000         0.0000       972.8815          -4227.7348       309.0759     -5200.6163     -4224.4760       302.8219           -689.5868      -663.1961     22983.6666      -171.0899      -171.2339
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5601.2901       414.0269         0.0000         0.0000       957.9079          -4229.3553       304.3189     -5187.2632     -4226.3662       303.3268            349.2573       354.0839     22737.0932      -205.8130      -205.9709
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5561.6695       364.8223         0.0000         0.0000       951.1951          -4245.6522       302.1863     -5196.8473     -4243.7394       302.2689           -544.2407      -512.1136     22684.0230      -210.9249      -211.0345
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5610.1684       365.5123         0.0000         0.0000       920.7548          -4323.9013       292.5157     -5244.6561     -4322.6943       296.7698           -418.9456      -399.2568     22556.7781      -171.4962      -171.4923
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5619.4219       421.4026         0.0000         0.0000       927.2646          -4270.7546       294.5838     -5198.0193     -4268.7391       298.8829           -155.4359      -113.3898     22787.9838      -169.0516      -168.8137
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5558.7049       400.8638         0.0000         0.0000       946.7450          -4211.0961       300.7726     -5157.8411     -4208.9378       298.7550            231.3694       254.3140     22578.6262      -231.0611      -230.9921
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5589.3679       387.3816         0.0000         0.0000       950.8820          -4251.1043       302.0869     -5201.9862     -4248.4189       300.5605           -564.6696      -544.2683     22998.7589      -220.1399      -220.1103
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5614.0995       412.3822         0.0000         0.0000       957.6783          -4244.0390       304.2460     -5201.7173     -4241.9869       300.9026             33.1467        46.9058     22665.4420      -296.5817      -296.4507
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5547.0373       348.1756         0.0000         0.0000       947.4620          -4251.3996       301.0004     -5198.8616     -4248.6722       297.4828           -977.3488      -949.7949     23006.3783      -200.2899      -200.2541
