# step Etot Epot T p 
0 1816524788.1699 1816524788.1699 0.0 99999999999.9999 
1 32698391.7536 32698391.7536 0.0 4322173375.0894 
2 2347711.148 2347711.148 0.0 329905935.3372 
3 316468.9281 316468.9281 0.0 38650450.7978 
4 66014.7108 66014.7108 0.0 6553589.1938 
5 22613.3034 22613.3034 0.0 1674853.3637 
6 12888.9018 12888.9018 0.0 707911.0705 
7 10328.2771 10328.2771 0.0 473476.1479 
8 9573.8699 9573.8699 0.0 409350.4693 
9 4143.2649 4143.2649 0.0 243670.2493 
10 1486.9135 1486.9135 0.0 150714.6316 
11 98.3672 98.3672 0.0 105812.4553 
12 -632.8448 -632.8448 0.0 85608.6045 
13 -1159.0763 -1159.0763 0.0 70656.8336 
14 -1716.3167 -1716.3167 0.0 56314.2818 
15 -2094.129 -2094.129 0.0 45555.5398 
16 -2317.8634 -2317.8634 0.0 37391.494 
17 -2698.94 -2698.94 0.0 34738.5385 
18 -2810.2819 -2810.2819 0.0 33143.7731 
19 -2670.5777 -2670.5777 0.0 32219.5441 
20 -2810.6586 -2810.6586 0.0 30282.768 
21 -2810.8126 -2810.8126 0.0 30253.2272 
22 -2990.5448 -2990.5448 0.0 26465.9872 
23 -3078.0263 -3078.0263 0.0 24332.8338 
24 -3060.8238 -3060.8238 0.0 23515.6483 
25 -3085.5598 -3085.5598 0.0 23894.7371 
26 -3085.4882 -3085.4882 0.0 23830.3368 
27 -3085.59 -3085.59 0.0 23871.459 
28 -3204.7038 -3204.7038 0.0 22899.6028 
29 -3287.0345 -3287.0345 0.0 22275.8442 
30 -3419.8853 -3419.8853 0.0 19959.4607 
31 -3503.6094 -3503.6094 0.0 18263.5789 
32 -3537.7171 -3537.7171 0.0 16884.3353 
33 -3518.6606 -3518.6606 0.0 15802.8345 
34 -3538.3896 -3538.3896 0.0 16697.8932 
35 -3538.2217 -3538.2217 0.0 16598.1103 
36 -3538.3898 -3538.3898 0.0 16687.8227 
37 -3678.1965 -3678.1965 0.0 15245.7526 
38 -3775.9533 -3775.9533 0.0 14277.1437 
39 -3808.2665 -3808.2665 0.0 14561.2326 
40 -3830.8446 -3830.8446 0.0 14625.5863 
41 -3842.2214 -3842.2214 0.0 15610.4907 
42 -3839.6269 -3839.6269 0.0 17208.2582 
43 -3843.0889 -3843.0889 0.0 16055.5988 
44 -3843.0703 -3843.0703 0.0 16155.3312 
45 -3843.0904 -3843.0904 0.0 16078.1072 
46 -3872.2257 -3872.2257 0.0 17010.3169 
47 -3887.8135 -3887.8135 0.0 18482.7759 
48 -3887.6855 -3887.6855 0.0 20624.449 
49 -3889.8638 -3889.8638 0.0 19445.0977 
50 -3889.8471 -3889.8471 0.0 19554.2971 
51 -3889.8641 -3889.8641 0.0 19458.5107 
52 -3968.8443 -3968.8443 0.0 17239.0161 
53 -4042.762 -4042.762 0.0 13971.2574 
54 -4094.142 -4094.142 0.0 12016.1106 
55 -4162.3995 -4162.3995 0.0 12313.0509 
56 -4178.859 -4178.859 0.0 12623.739 
57 -4141.5563 -4141.5563 0.0 12960.9667 
58 -4179.8113 -4179.8113 0.0 12563.0765 
59 -4259.2735 -4259.2735 0.0 10877.5261 
60 -4316.9879 -4316.9879 0.0 8461.8623 
61 -4348.9533 -4348.9533 0.0 8227.366 
62 -4374.729 -4374.729 0.0 8029.6264 
63 -4416.2274 -4416.2274 0.0 7670.6314 
64 -4423.9069 -4423.9069 0.0 7276.3507 
