ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0       481.2932       111.9392         0.0000         0.0000          -5016.3445 1816529211.2821         0.0000         0.0000         0.0000      1816524788.1699         0.0000 1816524788.1699 1816524788.1699         0.0000      99999999999.9999 99999999999.9999     23823.1240 99999999999.9999 99999999999.9999
ENERGY:       1       481.2932       111.9392         0.0000         0.0000          -4903.5397  32702702.0609         0.0000         0.0000         0.0000       32698391.7536         0.0000  32698391.7536  32698391.7536         0.0000      4322173375.0894 4820760731.5180     23823.1240 4322173375.0894 4820760731.5180
ENERGY:       2       484.1109       112.1611         0.0000         0.0000          -4891.4411   2352006.3171         0.0000         0.0000         0.0000        2347711.1480         0.0000   2347711.1480   2347711.1480         0.0000      329905935.3372 365790451.8036     23823.1240 329905935.3372 365790451.8036
ENERGY:       3       484.1109       112.1611         0.0000         0.0000          -4904.6053    320777.2614         0.0000         0.0000         0.0000         316468.9281         0.0000    316468.9281    316468.9281         0.0000       38650450.7978  42670671.3291     23823.1240  38650450.7978  42670671.3291
ENERGY:       4       484.1109       112.1611         0.0000         0.0000          -4904.8917     70323.3305         0.0000         0.0000         0.0000          66014.7108         0.0000     66014.7108     66014.7108         0.0000        6553589.1938   7170370.0154     23823.1240   6553589.1938   7170370.0154
ENERGY:       5       484.1109       112.1611         0.0000         0.0000          -4908.4214     26925.4528         0.0000         0.0000         0.0000          22613.3034         0.0000     22613.3034     22613.3034         0.0000        1674853.3637   1797251.1199     23823.1240   1674853.3637   1797251.1199
ENERGY:       6       484.1109       112.1611         0.0000         0.0000          -4907.5140     17200.1438         0.0000         0.0000         0.0000          12888.9018         0.0000     12888.9018     12888.9018         0.0000         707911.0705    740899.9527     23823.1240    707911.0705    740899.9527
ENERGY:       7       484.1109       112.1611         0.0000         0.0000          -4907.2627     14639.2679         0.0000         0.0000         0.0000          10328.2771         0.0000     10328.2771     10328.2771         0.0000         473476.1479    487190.3175     23823.1240    473476.1479    487190.3175
ENERGY:       8       488.9996       112.1306         0.0000         0.0000          -4905.6715     13878.4113         0.0000         0.0000         0.0000           9573.8699         0.0000      9573.8699      9573.8699         0.0000         409350.4693    417602.9106     23823.1240    409350.4693    417602.9106
ENERGY:       9       447.4819       109.6053         0.0000         0.0000          -4935.2389      8521.4167         0.0000         0.0000         0.0000           4143.2649         0.0000      4143.2649      4143.2649         0.0000         243670.2493    243317.1244     23823.1240    243670.2493    243317.1244
ENERGY:      10       410.4453       107.8790         0.0000         0.0000          -4961.1311      5929.7203         0.0000         0.0000         0.0000           1486.9135         0.0000      1486.9135      1486.9135         0.0000         150714.6316    147360.5820     23823.1240    150714.6316    147360.5820
ENERGY:      11       377.7308       106.9428         0.0000         0.0000          -4985.3488      4599.0425         0.0000         0.0000         0.0000             98.3672         0.0000        98.3672        98.3672         0.0000         105812.4553    101977.7708     23823.1240    105812.4553    101977.7708
ENERGY:      12       318.3538       103.0027         0.0000         0.0000          -5000.2747      3946.0735         0.0000         0.0000         0.0000           -632.8448         0.0000      -632.8448      -632.8448         0.0000          85608.6045     79528.9566     23823.1240     85608.6045     79528.9566
ENERGY:      13       282.5878       102.0801         0.0000         0.0000          -5016.1024      3472.3582         0.0000         0.0000         0.0000          -1159.0763         0.0000     -1159.0763     -1159.0763         0.0000          70656.8336     63438.6218     23823.1240     70656.8336     63438.6218
ENERGY:      14       252.7064       103.2023         0.0000         0.0000          -5055.8970      2983.6716         0.0000         0.0000         0.0000          -1716.3167         0.0000     -1716.3167     -1716.3167         0.0000          56314.2818     48098.1615     23823.1240     56314.2818     48098.1615
ENERGY:      15       281.2137       112.0189         0.0000         0.0000          -5093.4498      2606.0882         0.0000         0.0000         0.0000          -2094.1290         0.0000     -2094.1290     -2094.1290         0.0000          45555.5398     36650.7181     23823.1240     45555.5398     36650.7181
ENERGY:      16       367.2914       128.7904         0.0000         0.0000          -5128.8880      2314.9427         0.0000         0.0000         0.0000          -2317.8634         0.0000     -2317.8634     -2317.8634         0.0000          37391.4940     28079.5966     23823.1240     37391.4940     28079.5966
ENERGY:      17       213.6767       117.8860         0.0000         0.0000          -5180.3126      2149.8100         0.0000         0.0000         0.0000          -2698.9400         0.0000     -2698.9400     -2698.9400         0.0000          34738.5385     24685.5135     23823.1240     34738.5385     24685.5135
ENERGY:      18       244.2010       121.0831         0.0000         0.0000          -5229.7926      2054.2265         0.0000         0.0000         0.0000          -2810.2819         0.0000     -2810.2819     -2810.2819         0.0000          33143.7731     23062.7857     23823.1240     33143.7731     23062.7857
ENERGY:      19       457.5081       138.2542         0.0000         0.0000          -5277.5402      2011.2002         0.0000         0.0000         0.0000          -2670.5777         0.0000     -2670.5777     -2670.5777         0.0000          32219.5441     22771.0046     23823.1240     32219.5441     22771.0046
ENERGY:      20       232.8921       120.1315         0.0000         0.0000          -5224.9259      2061.2437         0.0000         0.0000         0.0000          -2810.6586         0.0000     -2810.6586     -2810.6586         0.0000          30282.7680     20063.4497     23823.1240     30282.7680     20063.4497
ENERGY:      21       236.6424       120.4486         0.0000         0.0000          -5226.6316      2058.7280         0.0000         0.0000         0.0000          -2810.8126         0.0000     -2810.8126     -2810.8126         0.0000          30253.2272     20042.6095     23823.1240     30253.2272     20042.6095
ENERGY:      22       197.5745       122.4180         0.0000         0.0000          -5247.8084      1937.2710         0.0000         0.0000         0.0000          -2990.5448         0.0000     -2990.5448     -2990.5448         0.0000          26465.9872     15968.0701     23823.1240     26465.9872     15968.0701
ENERGY:      23       192.0721       126.6908         0.0000         0.0000          -5269.0461      1872.2569         0.0000         0.0000         0.0000          -3078.0263         0.0000     -3078.0263     -3078.0263         0.0000          24332.8338     13703.4089     23823.1240     24332.8338     13703.4089
ENERGY:      24       219.9148       133.3636         0.0000         0.0000          -5290.6335      1876.5312         0.0000         0.0000         0.0000          -3060.8238         0.0000     -3060.8238     -3060.8238         0.0000          23515.6483     12968.4855     23823.1240     23515.6483     12968.4855
ENERGY:      25       198.0194       128.7430         0.0000         0.0000          -5276.5280      1864.2058         0.0000         0.0000         0.0000          -3085.5598         0.0000     -3085.5598     -3085.5598         0.0000          23894.7371     13263.2468     23823.1240     23894.7371     13263.2468
ENERGY:      26       199.5764       129.1581         0.0000         0.0000          -5277.9280      1863.7053         0.0000         0.0000         0.0000          -3085.4882         0.0000     -3085.4882     -3085.4882         0.0000          23830.3368     13201.5842     23823.1240     23830.3368     13201.5842
ENERGY:      27       198.5508       128.8878         0.0000         0.0000          -5277.0202      1863.9916         0.0000         0.0000         0.0000          -3085.5900         0.0000     -3085.5900     -3085.5900         0.0000          23871.4590     13240.8097     23823.1240     23871.4590     13240.8097
ENERGY:      28       181.2617       128.1785         0.0000         0.0000          -5296.0225      1781.8785         0.0000         0.0000         0.0000          -3204.7038         0.0000     -3204.7038     -3204.7038         0.0000          22899.6028     12109.1010     23823.1240     22899.6028     12109.1010
ENERGY:      29       171.2147       128.9415         0.0000         0.0000          -5315.6969      1728.5062         0.0000         0.0000         0.0000          -3287.0345         0.0000     -3287.0345     -3287.0345         0.0000          22275.8442     11404.3190     23823.1240     22275.8442     11404.3190
ENERGY:      30       160.1351       132.9696         0.0000         0.0000          -5354.2866      1641.2966         0.0000         0.0000         0.0000          -3419.8853         0.0000     -3419.8853     -3419.8853         0.0000          19959.4607      8918.0795     23823.1240     19959.4607      8918.0795
ENERGY:      31       176.3994       138.6742         0.0000         0.0000          -5392.5142      1573.8312         0.0000         0.0000         0.0000          -3503.6094         0.0000     -3503.6094     -3503.6094         0.0000          18263.5789      7195.6691     23823.1240     18263.5789      7195.6691
ENERGY:      32       219.5167       146.2138         0.0000         0.0000          -5430.4414      1526.9938         0.0000         0.0000         0.0000          -3537.7171         0.0000     -3537.7171     -3537.7171         0.0000          16884.3353      5926.9346     23823.1240     16884.3353      5926.9346
ENERGY:      33       287.5112       156.2099         0.0000         0.0000          -5468.1434      1505.7617         0.0000         0.0000         0.0000          -3518.6606         0.0000     -3518.6606     -3518.6606         0.0000          15802.8345      5097.7562     23823.1240     15802.8345      5097.7562
ENERGY:      34       228.4161       147.5667         0.0000         0.0000          -5436.2461      1521.8738         0.0000         0.0000         0.0000          -3538.3896         0.0000     -3538.3896     -3538.3896         0.0000          16697.8932      5769.8198     23823.1240     16697.8932      5769.8198
ENERGY:      35       233.5673       148.3375         0.0000         0.0000          -5439.4429      1519.3164         0.0000         0.0000         0.0000          -3538.2217         0.0000     -3538.2217     -3538.2217         0.0000          16598.1103      5687.6291     23823.1240     16598.1103      5687.6291
ENERGY:      36       228.9233       147.6429         0.0000         0.0000          -5436.5655      1521.6095         0.0000         0.0000         0.0000          -3538.3898         0.0000     -3538.3898     -3538.3898         0.0000          16687.8227      5761.4624     23823.1240     16687.8227      5761.4624
ENERGY:      37       218.2778       151.1297         0.0000         0.0000          -5465.9044      1418.3004         0.0000         0.0000         0.0000          -3678.1965         0.0000     -3678.1965     -3678.1965         0.0000          15245.7526      4126.5298     23823.1240     15245.7526      4126.5298
ENERGY:      38       212.1603       155.9815         0.0000         0.0000          -5495.4109      1351.3158         0.0000         0.0000         0.0000          -3775.9533         0.0000     -3775.9533     -3775.9533         0.0000          14277.1437      3050.4491     23823.1240     14277.1437      3050.4491
ENERGY:      39       205.3936       153.3718         0.0000         0.0000          -5501.3321      1334.3002         0.0000         0.0000         0.0000          -3808.2665         0.0000     -3808.2665     -3808.2665         0.0000          14561.2326      3024.8592     23823.1240     14561.2326      3024.8592
ENERGY:      40       200.9332       151.0291         0.0000         0.0000          -5507.2559      1324.4490         0.0000         0.0000         0.0000          -3830.8446         0.0000     -3830.8446     -3830.8446         0.0000          14625.5863      2803.7649     23823.1240     14625.5863      2803.7649
ENERGY:      41       198.7359       148.9601         0.0000         0.0000          -5513.1457      1323.2282         0.0000         0.0000         0.0000          -3842.2214         0.0000     -3842.2214     -3842.2214         0.0000          15610.4907      3511.8663     23823.1240     15610.4907      3511.8663
ENERGY:      42       198.7585       147.1722         0.0000         0.0000          -5518.9614      1333.4037         0.0000         0.0000         0.0000          -3839.6269         0.0000     -3839.6269     -3839.6269         0.0000          17208.2582      4848.6526     23823.1240     17208.2582      4848.6526
ENERGY:      43       198.5006       148.3412         0.0000         0.0000          -5515.0677      1325.1370         0.0000         0.0000         0.0000          -3843.0889         0.0000     -3843.0889     -3843.0889         0.0000          16055.5988      3869.4803     23823.1240     16055.5988      3869.4803
ENERGY:      44       198.4819       148.2185         0.0000         0.0000          -5515.4591      1325.6884         0.0000         0.0000         0.0000          -3843.0703         0.0000     -3843.0703     -3843.0703         0.0000          16155.3312      3951.5491     23823.1240     16155.3312      3951.5491
ENERGY:      45       198.4955       148.3130         0.0000         0.0000          -5515.1569      1325.2580         0.0000         0.0000         0.0000          -3843.0904         0.0000     -3843.0904     -3843.0904         0.0000          16078.1072      3887.9464     23823.1240     16078.1072      3887.9464
ENERGY:      46       197.4880       147.7866         0.0000         0.0000          -5535.9128      1318.4125         0.0000         0.0000         0.0000          -3872.2257         0.0000     -3872.2257     -3872.2257         0.0000          17010.3169      4762.7228     23823.1240     17010.3169      4762.7228
ENERGY:      47       198.5934       147.7215         0.0000         0.0000          -5556.5527      1322.4243         0.0000         0.0000         0.0000          -3887.8135         0.0000     -3887.8135     -3887.8135         0.0000          18482.7759      6207.8791     23823.1240     18482.7759      6207.8791
ENERGY:      48       201.8574       148.1278         0.0000         0.0000          -5577.0704      1339.3997         0.0000         0.0000         0.0000          -3887.6855         0.0000     -3887.6855     -3887.6855         0.0000          20624.4490      8352.4106     23823.1240     20624.4490      8352.4106
ENERGY:      49       199.9273       147.8619         0.0000         0.0000          -5566.6681      1329.0151         0.0000         0.0000         0.0000          -3889.8638         0.0000     -3889.8638     -3889.8638         0.0000          19445.0977      7167.8307     23823.1240     19445.0977      7167.8307
ENERGY:      50       200.0948       147.8829         0.0000         0.0000          -5567.7095      1329.8846         0.0000         0.0000         0.0000          -3889.8471         0.0000     -3889.8471     -3889.8471         0.0000          19554.2971      7277.5668     23823.1240     19554.2971      7277.5668
ENERGY:      51       199.9477       147.8644         0.0000         0.0000          -5566.7969      1329.1207         0.0000         0.0000         0.0000          -3889.8641         0.0000     -3889.8641     -3889.8641         0.0000          19458.5107      7181.6236     23823.1240     19458.5107      7181.6236
ENERGY:      52       203.7683       148.4772         0.0000         0.0000          -5600.7929      1279.7031         0.0000         0.0000         0.0000          -3968.8443         0.0000     -3968.8443     -3968.8443         0.0000          17239.0161      5083.9214     23823.1240     17239.0161      5083.9214
ENERGY:      53       203.9121       148.5652         0.0000         0.0000          -5614.6172      1219.3779         0.0000         0.0000         0.0000          -4042.7620         0.0000     -4042.7620     -4042.7620         0.0000          13971.2574      1768.1512     23823.1240     13971.2574      1768.1512
ENERGY:      54       205.8174       149.0549         0.0000         0.0000          -5628.3946      1179.3803         0.0000         0.0000         0.0000          -4094.1420         0.0000     -4094.1420     -4094.1420         0.0000          12016.1106      -220.6713     23823.1240     12016.1106      -220.6713
ENERGY:      55       153.7341       147.8302         0.0000         0.0000          -5640.1846      1176.2208         0.0000         0.0000         0.0000          -4162.3995         0.0000     -4162.3995     -4162.3995         0.0000          12313.0509       -27.8845     23823.1240     12313.0509       -27.8845
ENERGY:      56       146.2817       147.3686         0.0000         0.0000          -5651.9255      1179.4162         0.0000         0.0000         0.0000          -4178.8590         0.0000     -4178.8590     -4178.8590         0.0000          12623.7390       287.0272     23823.1240     12623.7390       287.0272
ENERGY:      57       184.2748       147.3749         0.0000         0.0000          -5663.6260      1190.4200         0.0000         0.0000         0.0000          -4141.5563         0.0000     -4141.5563     -4141.5563         0.0000          12960.9667       740.5096     23823.1240     12960.9667       740.5096
ENERGY:      58       144.2132       147.4143         0.0000         0.0000          -5649.6966      1178.2578         0.0000         0.0000         0.0000          -4179.8113         0.0000     -4179.8113     -4179.8113         0.0000          12563.0765       217.0492     23823.1240     12563.0765       217.0492
ENERGY:      59       148.8898       148.0895         0.0000         0.0000          -5677.4148      1121.1621         0.0000         0.0000         0.0000          -4259.2735         0.0000     -4259.2735     -4259.2735         0.0000          10877.5261     -1578.4524     23823.1240     10877.5261     -1578.4524
ENERGY:      60       156.9556       150.4937         0.0000         0.0000          -5704.8661      1080.4289         0.0000         0.0000         0.0000          -4316.9879         0.0000     -4316.9879     -4316.9879         0.0000           8461.8623     -4046.5127     23823.1240      8461.8623     -4046.5127
ENERGY:      61       154.2769       150.0140         0.0000         0.0000          -5714.3156      1061.0715         0.0000         0.0000         0.0000          -4348.9533         0.0000     -4348.9533     -4348.9533         0.0000           8227.3660     -4386.5276     23823.1240      8227.3660     -4386.5276
